ID,StartDate,EndDate,Duration (in seconds),Finished,UserLanguage,Consent,homophobia.5-pAction,homophobia.6-pAction,homophobia.7-pAction,homophobia.8-pAction,homophobia.13-pAction,homophobia.14-pAction,homophobia.15-pAction,homophobia.16-pAction,homophobia.16-agreement,Gender,Age
1,2026-02-18 21:58:14,2026-02-18 21:59:16,61,1,EN-GB,1,,1,,,,,,,,2,53
2,2026-02-18 21:58:29,2026-02-18 21:59:29,60,1,EN-GB,1,,,,,,2,,,,2,37
3,2026-02-18 21:58:20,2026-02-18 21:59:35,74,1,EN-GB,1,,,,,13,,,,,1,45
4,2026-02-18 21:58:34,2026-02-18 21:59:38,63,1,EN-GB,1,8,,,,,,,,,1,35
5,2026-02-18 21:58:07,2026-02-18 21:59:41,93,1,EN-GB,1,,,,,10,,,,,3,37
6,2026-02-18 21:58:47,2026-02-18 21:59:41,54,1,EN-GB,1,,2,,,,,,,,1,36
7,2026-02-18 21:58:21,2026-02-18 21:59:46,85,1,EN-GB,1,,,,1,,,,,,1,67
8,2026-02-18 21:58:40,2026-02-18 21:59:48,67,1,EN-GB,1,9,,,,,,,,,1,23
9,2026-02-18 21:58:49,2026-02-18 21:59:51,62,1,EN-GB,1,,,,,,,10,,,3,26
10,2026-02-18 21:58:22,2026-02-18 21:59:59,96,1,EN-GB,1,,,,1,,,,,,4,29
11,2026-02-18 21:58:14,2026-02-18 22:00:01,106,1,EN-GB,1,,,,,,1,,,,2,57
12,2026-02-18 21:58:29,2026-02-18 22:00:05,96,1,EN-GB,1,,,,,,,,2,12,2,21
13,2026-02-18 21:59:07,2026-02-18 22:00:10,63,1,EN-GB,1,,,,,12,,,,,2,30
14,2026-02-18 21:59:06,2026-02-18 22:00:14,67,1,EN-GB,1,,,,,9,,,,,1,23
15,2026-02-18 21:58:05,2026-02-18 22:00:21,135,1,EN-GB,1,,,8,,,,,,,2,56
16,2026-02-18 21:58:49,2026-02-18 22:00:21,91,1,EN-GB,1,,,,,,1,,,,1,39
17,2026-02-18 21:58:24,2026-02-18 22:00:21,116,1,EN-GB,1,,,,,,,12,,,1,48
18,2026-02-18 21:59:06,2026-02-18 22:00:27,81,1,EN-GB,1,,,13,,,,,,,1,52
19,2026-02-18 21:59:43,2026-02-18 22:00:32,48,1,EN-GB,1,,,,,,,9,,,1,36
20,2026-02-18 21:59:17,2026-02-18 22:00:36,79,1,EN-GB,1,,,,1,,,,,,1,36
21,2026-02-18 21:58:58,2026-02-18 22:00:38,99,1,EN-GB,1,,,,1,,,,,,1,53
22,2026-02-18 21:58:51,2026-02-18 22:00:39,108,1,EN-GB,1,,,7,,,,,,,1,47
23,2026-02-18 21:58:53,2026-02-18 22:00:39,106,1,EN-GB,1,,,,,,1,,,,1,57
24,2026-02-18 21:59:05,2026-02-18 22:00:39,94,1,EN-GB,1,,,,,,,,1,13,1,48
25,2026-02-18 21:58:40,2026-02-18 22:00:41,120,1,EN-GB,1,,1,,,,,,,,1,68
26,2026-02-18 21:58:49,2026-02-18 22:00:44,115,1,EN-GB,1,,,,,,,9,,,1,30
27,2026-02-18 21:59:25,2026-02-18 22:00:47,82,1,EN-GB,1,9,,,,,,,,,2,41
28,2026-02-18 21:59:36,2026-02-18 22:00:49,73,1,EN-GB,1,,,,1,,,,,,2,40
29,2026-02-18 21:59:22,2026-02-18 22:00:53,90,1,EN-GB,1,,,,,,,11,,,2,29
30,2026-02-18 21:59:05,2026-02-18 22:00:54,109,1,EN-GB,1,,1,,,,,,,,2,36
31,2026-02-18 21:59:02,2026-02-18 22:00:55,112,1,EN-GB,1,,1,,,,,,,,1,38
32,2026-02-18 21:59:24,2026-02-18 22:00:57,93,1,EN-GB,1,,,,,,1,,,,2,38
33,2026-02-18 21:59:16,2026-02-18 22:01:02,105,1,EN-GB,1,,,,,,,,1,13,2,60
34,2026-02-18 21:59:58,2026-02-18 22:01:04,65,1,EN-GB,1,,2,,,,,,,,2,30
35,2026-02-18 21:59:44,2026-02-18 22:01:04,80,1,EN-GB,1,11,,,,,,,,,2,22
36,2026-02-18 21:59:04,2026-02-18 22:01:05,120,1,EN-GB,1,,,,,12,,,,,2,77
37,2026-02-18 21:59:31,2026-02-18 22:01:05,93,1,EN-GB,1,,1,,,,,,,,1,30
38,2026-02-18 21:58:35,2026-02-18 22:01:10,154,1,EN-GB,1,,,,,,,,1,13,1,48
39,2026-02-18 21:59:40,2026-02-18 22:01:11,90,1,EN-GB,1,,,,,,1,,,,2,59
40,2026-02-18 21:59:20,2026-02-18 22:01:17,116,1,EN-GB,1,7,,,,,,,,,1,31
41,2026-02-18 21:59:26,2026-02-18 22:01:18,111,1,EN-GB,1,,,8,,,,,,,1,53
42,2026-02-18 21:59:50,2026-02-18 22:01:21,90,1,EN-GB,1,,1,,,,,,,,2,54
43,2026-02-18 21:59:07,2026-02-18 22:01:22,134,1,EN-GB,1,,,,,11,,,,,2,60
44,2026-02-18 21:58:44,2026-02-18 22:01:24,159,1,EN-GB,1,,,,,,,,1,13,2,58
45,2026-02-18 22:00:21,2026-02-18 22:01:27,66,1,EN-GB,1,,,,,,,,1,13,3,25
46,2026-02-18 21:59:36,2026-02-18 22:01:30,113,1,EN-GB,1,,,,2,,,,,,1,55
47,2026-02-18 21:59:52,2026-02-18 22:01:32,99,1,EN-GB,1,,,,,,,,2,12,1,41
48,2026-02-18 21:59:46,2026-02-18 22:01:33,106,1,EN-GB,1,,,,,10,,,,,2,57
49,2026-02-18 21:59:27,2026-02-18 22:01:36,128,1,EN-GB,1,,,,,,,,1,2,2,23
50,2026-02-18 21:59:53,2026-02-18 22:01:40,106,1,EN-GB,1,,,10,,,,,,,1,31
51,2026-02-18 21:58:32,2026-02-18 22:01:41,188,1,EN-GB,1,,,,1,,,,,,1,33
52,2026-02-18 22:00:24,2026-02-18 22:01:41,76,1,EN-GB,1,,,,,,1,,,,1,63
53,2026-02-18 21:59:08,2026-02-18 22:01:42,154,1,EN-GB,1,13,,,,,,,,,1,58
54,2026-02-18 21:59:54,2026-02-18 22:01:43,108,1,EN-GB,1,,,,1,,,,,,1,25
55,2026-02-18 22:00:12,2026-02-18 22:01:43,91,1,EN-GB,1,,1,,,,,,,,2,33
56,2026-02-18 21:59:14,2026-02-18 22:01:46,152,1,EN-GB,1,,,12,,,,,,,2,45
57,2026-02-18 21:59:28,2026-02-18 22:01:53,145,1,EN-GB,1,,,,,,,8,,,1,27
58,2026-02-18 22:00:20,2026-02-18 22:01:59,98,1,EN-GB,1,,,10,,,,,,,2,54
59,2026-02-18 22:00:17,2026-02-18 22:02:02,104,1,EN-GB,1,,,,,8,,,,,2,51
60,2026-02-18 22:00:54,2026-02-18 22:02:04,70,1,EN-GB,1,,,,,,1,,,,1,20
61,2026-02-18 21:58:58,2026-02-18 22:02:05,186,1,EN-GB,1,,,,,,,13,,,1,32
62,2026-02-18 21:59:15,2026-02-18 22:02:11,175,1,EN-GB,1,,,,,11,,,,,1,58
63,2026-02-18 21:59:33,2026-02-18 22:02:11,158,1,EN-GB,1,,,,1,,,,,,1,27
64,2026-02-18 22:00:17,2026-02-18 22:02:13,116,1,EN-GB,1,,,,,,,7,,,1,58
65,2026-02-18 22:01:11,2026-02-18 22:02:15,63,1,EN-GB,1,,,,,11,,,,,1,43
66,2026-02-18 21:59:16,2026-02-18 22:02:15,178,1,EN-GB,1,8,,,,,,,,,1,26
67,2026-02-18 22:00:35,2026-02-18 22:02:16,100,1,EN-GB,1,,,,,,,,1,13,1,37
68,2026-02-18 22:00:41,2026-02-18 22:02:19,97,1,EN-GB,1,,,,1,,,,,,2,20
69,2026-02-18 22:01:31,2026-02-18 22:02:21,49,1,EN-GB,1,,,,,,1,,,,2,30
70,2026-02-18 22:01:06,2026-02-18 22:02:25,79,1,EN-GB,1,8,,,,,,,,,1,68
71,2026-02-18 22:00:48,2026-02-18 22:02:27,98,1,EN-GB,1,7,,,,,,,,,2,55
72,2026-02-18 21:59:46,2026-02-18 22:02:30,163,1,EN-GB,1,,,,,,1,,,,2,25
73,2026-02-18 22:00:28,2026-02-18 22:02:30,122,1,EN-GB,1,,,,2,,,,,,2,47
74,2026-02-18 21:59:46,2026-02-18 22:02:32,165,1,EN-GB,1,,,,,,,8,,,2,49
75,2026-02-18 22:00:17,2026-02-18 22:02:43,146,1,EN-GB,1,,,,,11,,,,,1,32
76,2026-02-18 22:01:25,2026-02-18 22:02:44,79,1,EN-GB,1,,,11,,,,,,,2,35
77,2026-02-18 22:01:40,2026-02-18 22:02:45,65,1,EN-GB,1,13,,,,,,,,,2,54
78,2026-02-18 21:59:49,2026-02-18 22:02:48,179,1,EN-GB,1,,,,,,1,,,,2,33
79,2026-02-18 22:01:37,2026-02-18 22:02:49,72,1,EN-GB,1,,,,2,,,,,,2,45
80,2026-02-18 21:59:10,2026-02-18 22:02:53,222,1,EN-GB,1,,,12,,,,,,,2,28
81,2026-02-18 21:59:54,2026-02-18 22:02:55,181,1,EN-GB,1,12,,,,,,,,,1,32
82,2026-02-18 22:00:18,2026-02-18 22:03:03,165,1,EN-GB,1,,1,,,,,,,,2,43
83,2026-02-18 22:01:22,2026-02-18 22:03:05,103,1,EN-GB,1,,,,,,,3,,,1,61
84,2026-02-18 21:59:36,2026-02-18 22:03:04,208,1,EN-GB,1,,,,1,,,,,,1,36
85,2026-02-18 22:00:12,2026-02-18 22:03:10,178,1,EN-GB,1,,,13,,,,,,,1,61
86,2026-02-18 22:00:46,2026-02-18 22:03:13,147,1,EN-GB,1,,2,,,,,,,,2,56
87,2026-02-18 22:00:39,2026-02-18 22:03:17,158,1,EN-GB,1,13,,,,,,,,,2,47
88,2026-02-18 22:00:09,2026-02-18 22:03:20,190,1,EN-GB,1,,,,,,,,1,13,2,80
89,2026-02-18 21:59:40,2026-02-18 22:03:21,221,1,EN-GB,1,,,,,,,11,,,1,58
90,2026-02-18 22:01:37,2026-02-18 22:03:21,103,1,EN-GB,1,,,,,,3,,,,2,40
91,2026-02-18 22:00:28,2026-02-18 22:03:22,174,1,EN-GB,1,,1,,,,,,,,2,67
92,2026-02-18 22:01:20,2026-02-18 22:03:23,122,1,EN-GB,1,,,,,,1,,,,1,72
93,2026-02-18 22:02:27,2026-02-18 22:03:23,55,1,EN-GB,1,,,,,9,,,,,1,32
94,2026-02-18 22:02:02,2026-02-18 22:03:26,83,1,EN-GB,1,,,,,10,,,,,1,66
95,2026-02-18 22:01:09,2026-02-18 22:03:29,140,1,EN-GB,1,,,,,11,,,,,1,49
96,2026-02-18 22:01:55,2026-02-18 22:03:31,95,1,EN-GB,1,,,,,,1,,,,2,60
97,2026-02-18 22:01:59,2026-02-18 22:03:32,92,1,EN-GB,1,,1,,,,,,,,2,40
98,2026-02-18 22:02:32,2026-02-18 22:03:33,60,1,EN-GB,1,,,,1,,,,,,2,40
99,2026-02-18 22:00:28,2026-02-18 22:03:34,186,1,EN-GB,1,,,,,,1,,,,2,47
100,2026-02-18 22:00:25,2026-02-18 22:03:35,189,1,EN-GB,1,,,12,,,,,,,1,56
101,2026-02-18 22:01:23,2026-02-18 22:03:38,135,1,EN-GB,1,,1,,,,,,,,2,48
102,2026-02-18 22:01:14,2026-02-18 22:03:40,146,1,EN-GB,1,,,10,,,,,,,1,40
103,2026-02-18 22:01:07,2026-02-18 22:03:42,154,1,EN-GB,1,,,,7,,,,,,2,24
104,2026-02-18 22:00:51,2026-02-18 22:03:42,170,1,EN-GB,1,,1,,,,,,,,2,40
105,2026-02-18 22:00:07,2026-02-18 22:03:43,216,1,EN-GB,1,,,,,,,13,,,2,45
106,2026-02-18 22:02:23,2026-02-18 22:03:52,89,1,EN-GB,1,13,,,,,,,,,1,73
107,2026-02-18 22:01:48,2026-02-18 22:03:55,126,1,EN-GB,1,,1,,,,,,,,1,29
108,2026-02-18 22:03:11,2026-02-18 22:03:58,47,1,EN-GB,1,,,,,10,,,,,2,22
109,2026-02-18 22:02:44,2026-02-18 22:03:59,75,1,EN-GB,1,,,,,,,9,,,2,38
110,2026-02-18 22:02:40,2026-02-18 22:04:01,81,1,EN-GB,1,,,10,,,,,,,1,56
111,2026-02-18 22:02:45,2026-02-18 22:04:05,80,1,EN-GB,1,,,13,,,,,,,1,40
112,2026-02-18 22:02:46,2026-02-18 22:04:07,80,1,EN-GB,1,,,,,,,13,,,2,51
113,2026-02-18 22:01:04,2026-02-18 22:04:08,183,1,EN-GB,1,12,,,,,,,,,2,19
114,2026-02-18 22:02:03,2026-02-18 22:04:11,128,1,EN-GB,1,,,11,,,,,,,2,31
115,2026-02-18 22:01:03,2026-02-18 22:04:18,194,1,EN-GB,1,,,,,,,,1,12,2,30
116,2026-02-18 22:02:50,2026-02-18 22:04:19,88,1,EN-GB,1,13,,,,,,,,,1,20
117,2026-02-18 22:02:38,2026-02-18 22:04:20,101,1,EN-GB,1,13,,,,,,,,,1,31
118,2026-02-18 22:02:33,2026-02-18 22:04:23,109,1,EN-GB,1,,,11,,,,,,,2,55
119,2026-02-18 22:02:26,2026-02-18 22:04:25,118,1,EN-GB,1,,,,,,,,1,13,1,44
120,2026-02-18 22:03:24,2026-02-18 22:04:34,69,1,EN-GB,1,,,,,9,,,,,2,38
121,2026-02-18 22:03:02,2026-02-18 22:04:35,92,1,EN-GB,1,,1,,,,,,,,2,32
122,2026-02-18 22:03:06,2026-02-18 22:04:36,90,1,EN-GB,1,,1,,,,,,,,2,65
123,2026-02-18 22:03:27,2026-02-18 22:04:37,69,1,EN-GB,1,,,,,,1,,,,1,72
124,2026-02-18 22:02:38,2026-02-18 22:04:39,120,1,EN-GB,1,,,,,,1,,,,2,33
125,2026-02-18 22:01:33,2026-02-18 22:04:40,186,1,EN-GB,1,,,,,,,,1,12,2,32
126,2026-02-18 22:02:44,2026-02-18 22:04:43,118,1,EN-GB,1,,,,,,,9,,,1,44
127,2026-02-18 22:01:56,2026-02-18 22:04:43,167,1,EN-GB,1,,,,,,,,2,12,2,72
128,2026-02-18 22:02:40,2026-02-18 22:04:46,126,1,EN-GB,1,,,,1,,,,,,1,74
129,2026-02-18 22:00:56,2026-02-18 22:04:47,231,1,EN-GB,1,,,,,,,,1,12,1,39
130,2026-02-18 21:58:48,2026-02-18 22:04:57,369,1,EN-GB,1,,,,,12,,,,,2,31
131,2026-02-18 22:00:56,2026-02-18 22:04:58,242,1,EN-GB,1,,,,,,,,1,12,1,68
132,2026-02-18 22:02:04,2026-02-18 22:05:08,184,1,EN-GB,1,,,,1,,,,,,1,51
133,2026-02-18 22:03:22,2026-02-18 22:05:10,108,1,EN-GB,1,13,,,,,,,,,1,67
134,2026-02-18 22:01:16,2026-02-18 22:05:11,235,1,EN-GB,1,,,,,,,,1,13,1,50
135,2026-02-18 22:02:51,2026-02-18 22:05:12,140,1,EN-GB,1,,,,,,1,,,,2,44
136,2026-02-18 22:03:01,2026-02-18 22:05:14,132,1,EN-GB,1,,,,,,,13,,,1,47
137,2026-02-18 22:02:47,2026-02-18 22:05:16,148,1,EN-GB,1,,1,,,,,,,,2,34
138,2026-02-18 22:03:40,2026-02-18 22:05:17,96,1,EN-GB,1,,,,1,,,,,,2,69
139,2026-02-18 22:03:23,2026-02-18 22:05:20,117,1,EN-GB,1,,,10,,,,,,,2,42
140,2026-02-18 22:03:57,2026-02-18 22:05:25,87,1,EN-GB,1,,,,,10,,,,,1,35
141,2026-02-18 21:58:34,2026-02-18 22:05:32,418,1,EN-GB,1,,,,,,,13,,,1,52
142,2026-02-18 22:03:09,2026-02-18 22:05:33,143,1,EN-GB,1,,,,1,,,,,,1,63
143,2026-02-18 22:03:39,2026-02-18 22:05:41,121,1,EN-GB,1,,,,,,,,1,13,2,41
144,2026-02-18 22:02:37,2026-02-18 22:05:42,185,1,EN-GB,1,,,,,13,,,,,2,70
145,2026-02-18 22:04:39,2026-02-18 22:05:44,65,1,EN-GB,1,,,8,,,,,,,1,25
146,2026-02-18 22:03:25,2026-02-18 22:05:59,153,1,EN-GB,1,,,,,,,7,,,1,32
147,2026-02-18 22:04:24,2026-02-18 22:06:02,97,1,EN-GB,1,,,,,,,10,,,2,46
148,2026-02-18 22:04:40,2026-02-18 22:06:06,85,1,EN-GB,1,11,,,,,,,,,1,23
149,2026-02-18 22:04:55,2026-02-18 22:06:09,74,1,EN-GB,1,,,,,,,,1,13,1,62
150,2026-02-18 22:04:42,2026-02-18 22:06:10,87,1,EN-GB,1,,,,1,,,,,,2,56
151,2026-02-18 22:05:03,2026-02-18 22:06:11,67,1,EN-GB,1,,,,1,,,,,,1,26
152,2026-02-18 22:04:51,2026-02-18 22:06:19,87,1,EN-GB,1,,1,,,,,,,,4,29
153,2026-02-18 22:04:54,2026-02-18 22:06:30,96,1,EN-GB,1,,,,,,3,,,,1,55
154,2026-02-18 22:02:14,2026-02-18 22:06:44,269,1,EN-GB,1,,,,,,1,,,,1,31
155,2026-02-18 22:03:54,2026-02-18 22:06:47,173,1,EN-GB,1,10,,,,,,,,,1,34
156,2026-02-18 22:05:09,2026-02-18 22:06:53,104,1,EN-GB,1,10,,,,,,,,,1,48
157,2026-02-18 22:04:30,2026-02-18 22:07:07,156,1,EN-GB,1,,,10,,,,,,,1,49
158,2026-02-18 22:05:48,2026-02-18 22:07:07,79,1,EN-GB,1,,,,,,,10,,,2,41
159,2026-02-18 22:05:48,2026-02-18 22:07:08,80,1,EN-GB,1,,,,,,,9,,,1,30
160,2026-02-18 22:05:05,2026-02-18 22:07:10,125,1,EN-GB,1,,,,,,,,1,9,2,47
161,2026-02-18 21:58:28,2026-02-18 22:07:12,524,1,EN-GB,1,,,11,,,,,,,1,41
162,2026-02-18 22:05:37,2026-02-18 22:07:17,99,1,EN-GB,1,,,,,,,7,,,2,54
163,2026-02-18 22:03:58,2026-02-18 22:07:20,201,1,EN-GB,1,,,,,13,,,,,1,72
164,2026-02-18 22:05:28,2026-02-18 22:07:24,115,1,EN-GB,1,,,,,12,,,,,1,29
165,2026-02-18 22:05:19,2026-02-18 22:07:32,132,1,EN-GB,1,,,,,,1,,,,1,56
166,2026-02-18 22:04:47,2026-02-18 22:07:31,163,1,EN-GB,1,,1,,,,,,,,1,38
167,2026-02-18 22:06:06,2026-02-18 22:07:34,87,1,EN-GB,1,13,,,,,,,,,1,24
168,2026-02-18 22:05:28,2026-02-18 22:07:36,127,1,EN-GB,1,,1,,,,,,,,1,47
169,2026-02-18 22:05:46,2026-02-18 22:07:46,119,1,EN-GB,1,,,11,,,,,,,1,51
170,2026-02-18 22:06:00,2026-02-18 22:07:46,105,1,EN-GB,1,,,13,,,,,,,2,18
171,2026-02-18 22:05:26,2026-02-18 22:07:49,143,1,EN-GB,1,,,,,,,,1,13,2,34
172,2026-02-18 22:06:46,2026-02-18 22:07:54,67,1,EN-GB,1,9,,,,,,,,,1,39
173,2026-02-18 22:05:30,2026-02-18 22:07:56,145,1,EN-GB,1,,,,,13,,,,,1,46
174,2026-02-18 22:06:12,2026-02-18 22:07:56,104,1,EN-GB,1,,,,,,2,,,,2,50
175,2026-02-18 22:05:35,2026-02-18 22:07:58,142,1,EN-GB,1,,,12,,,,,,,2,53
176,2026-02-18 22:02:39,2026-02-18 22:07:58,319,1,EN-GB,1,,,,,13,,,,,1,65
177,2026-02-18 22:07:02,2026-02-18 22:07:59,56,1,EN-GB,1,,,,,,1,,,,2,35
178,2026-02-18 22:05:48,2026-02-18 22:08:02,133,1,EN-GB,1,,,,2,,,,,,1,58
179,2026-02-18 22:05:47,2026-02-18 22:08:04,136,1,EN-GB,1,,,,1,,,,,,2,37
180,2026-02-18 22:05:50,2026-02-18 22:08:07,136,1,EN-GB,1,12,,,,,,,,,2,36
181,2026-02-18 22:06:01,2026-02-18 22:08:15,133,1,EN-GB,1,,1,,,,,,,,3,36
182,2026-02-18 22:06:57,2026-02-18 22:08:18,80,1,EN-GB,1,,1,,,,,,,,2,32
183,2026-02-18 22:06:24,2026-02-18 22:08:22,117,1,EN-GB,1,,1,,,,,,,,1,43
184,2026-02-18 22:06:51,2026-02-18 22:08:23,92,1,EN-GB,1,,,,,,,7,,,1,19
185,2026-02-18 22:07:17,2026-02-18 22:08:26,69,1,EN-GB,1,,,,,,1,,,,1,28
186,2026-02-18 22:07:08,2026-02-18 22:08:31,82,1,EN-GB,1,,,,2,,,,,,1,20
187,2026-02-18 22:08:01,2026-02-18 22:08:31,30,1,EN-GB,1,,,,10,,,,,,2,28
188,2026-02-18 22:05:42,2026-02-18 22:08:32,170,1,EN-GB,1,,,,,13,,,,,1,73
189,2026-02-18 22:06:02,2026-02-18 22:08:33,150,1,EN-GB,1,,,,,,,,1,12,2,38
190,2026-02-18 22:06:33,2026-02-18 22:08:34,120,1,EN-GB,1,,,10,,,,,,,2,41
191,2026-02-18 22:07:22,2026-02-18 22:08:34,71,1,EN-GB,1,13,,,,,,,,,1,30
192,2026-02-18 22:07:29,2026-02-18 22:08:41,72,1,EN-GB,1,,,,,,,8,,,1,43
193,2026-02-18 22:07:30,2026-02-18 22:08:43,73,1,EN-GB,1,,,,,10,,,,,1,49
194,2026-02-18 22:03:36,2026-02-18 22:08:44,308,1,EN-GB,1,,,,,,,,1,13,1,58
195,2026-02-18 22:05:59,2026-02-18 22:08:45,165,1,EN-GB,1,,,,,,,,1,6,1,39
196,2026-02-18 22:05:50,2026-02-18 22:08:51,180,1,EN-GB,1,,,12,,,,,,,2,54
197,2026-02-18 22:06:26,2026-02-18 22:08:56,149,1,EN-GB,1,,,,,,,9,,,1,40
198,2026-02-18 22:06:32,2026-02-18 22:09:06,154,1,EN-GB,1,10,,,,,,,,,2,44
199,2026-02-18 22:07:35,2026-02-18 22:09:07,91,1,EN-GB,1,,,,,,,,1,13,1,31
200,2026-02-18 22:07:08,2026-02-18 22:09:09,120,1,EN-GB,1,,,,,,1,,,,2,40
201,2026-02-18 22:07:57,2026-02-18 22:09:11,73,1,EN-GB,1,,,,,,,10,,,2,45
202,2026-02-18 22:08:04,2026-02-18 22:09:11,67,1,EN-GB,1,,1,,,,,,,,2,48
