ID,StartDate,EndDate,Duration (in seconds),Finished,UserLanguage,Consent,"non,blameAc","ignorant,blame,AC",non13p,ignorant13pAC,Gender,Age
1,2026-03-17 08:56:59,2026-03-17 08:58:04,64,1,EN-GB,1,,,,12,2,24
2,2026-03-17 08:57:22,2026-03-17 08:59:24,121,1,EN-GB,1,,7,,,2,25
3,2026-03-17 08:57:57,2026-03-17 08:59:39,102,1,EN-GB,1,,7,,,2,18
4,2026-03-17 08:57:36,2026-03-17 08:59:47,131,1,EN-GB,1,,7,,,1,31
5,2026-03-17 08:57:58,2026-03-17 08:59:51,112,1,EN-GB,1,7,,,,2,39
6,2026-03-17 08:57:41,2026-03-17 09:00:09,147,1,EN-GB,1,7,,,,2,60
7,2026-03-17 08:58:24,2026-03-17 09:00:09,105,1,EN-GB,1,7,,,,2,37
8,2026-03-17 08:57:22,2026-03-17 09:00:45,202,1,EN-GB,1,,,,3,2,33
9,2026-03-17 08:57:59,2026-03-17 09:01:50,230,1,EN-GB,1,,,1,,1,62
10,2026-03-17 08:59:59,2026-03-17 09:01:57,118,1,EN-GB,1,,,,1,2,37
11,2026-03-17 08:59:09,2026-03-17 09:02:19,190,1,EN-GB,1,,,1,,1,18
12,2026-03-17 09:00:38,2026-03-17 09:02:57,138,1,EN-GB,1,,,1,,2,41
13,2026-03-17 09:00:37,2026-03-17 09:03:09,152,1,EN-GB,1,,,,1,1,24
14,2026-03-17 08:59:07,2026-03-17 09:04:22,314,1,EN-GB,1,,7,,,1,33
15,2026-03-17 09:01:52,2026-03-17 09:05:33,220,1,EN-GB,1,,4,,,1,27
16,2026-03-17 09:03:51,2026-03-17 09:05:36,105,1,EN-GB,1,7,,,,2,44
17,2026-03-17 09:04:25,2026-03-17 09:05:58,92,1,EN-GB,1,7,,,,2,48
18,2026-03-17 08:58:01,2026-03-17 09:06:00,479,1,EN-GB,1,7,,,,2,56
19,2026-03-17 09:04:27,2026-03-17 09:06:20,112,1,EN-GB,1,,7,,,1,42
20,2026-03-17 09:03:12,2026-03-17 09:06:41,208,1,EN-GB,1,,,,1,2,56
21,2026-03-17 09:04:04,2026-03-17 09:06:48,164,1,EN-GB,1,,,1,,1,40
22,2026-03-17 09:06:32,2026-03-17 09:07:52,79,1,EN-GB,1,,7,,,2,33
23,2026-03-17 09:04:55,2026-03-17 09:08:40,224,1,EN-GB,1,,,,2,1,36
24,2026-03-17 09:05:53,2026-03-17 09:08:43,169,1,EN-GB,1,,,1,,2,39
25,2026-03-17 09:05:53,2026-03-17 09:09:05,192,1,EN-GB,1,,,,1,1,19
26,2026-03-17 09:05:07,2026-03-17 09:09:14,246,1,EN-GB,1,7,,,,1,22
27,2026-03-17 09:09:01,2026-03-17 09:10:33,92,1,EN-GB,1,,7,,,2,25
28,2026-03-17 09:06:41,2026-03-17 09:10:33,232,1,EN-GB,1,7,,,,2,55
29,2026-03-17 09:08:10,2026-03-17 09:10:35,144,1,EN-GB,1,,,1,,2,37
30,2026-03-17 09:08:45,2026-03-17 09:10:42,117,1,EN-GB,1,,,1,,1,31
31,2026-03-17 09:09:05,2026-03-17 09:10:56,111,1,EN-GB,1,,,,1,1,40
32,2026-03-17 09:08:47,2026-03-17 09:11:33,166,1,EN-GB,1,7,,,,3,46
33,2026-03-17 09:04:39,2026-03-17 09:11:41,422,1,EN-GB,1,,,,1,1,39
34,2026-03-17 09:10:26,2026-03-17 09:13:21,174,1,EN-GB,1,,5,,,1,49
35,2026-03-17 09:07:02,2026-03-17 09:13:30,387,1,EN-GB,1,7,,,,1,39
36,2026-03-17 09:10:12,2026-03-17 09:13:39,207,1,EN-GB,1,,,1,,1,23
37,2026-03-17 09:09:07,2026-03-17 09:14:48,340,1,EN-GB,1,,,,4,2,38
38,2026-03-17 09:13:15,2026-03-17 09:15:20,125,1,EN-GB,1,7,,,,2,35
39,2026-03-17 08:57:16,2026-03-17 09:15:38,1102,1,EN-GB,1,,,1,,2,19
40,2026-03-17 09:06:36,2026-03-17 09:16:02,566,1,EN-GB,1,,7,,,1,35
41,2026-03-17 09:13:53,2026-03-17 09:16:06,133,1,EN-GB,1,,,1,,2,24
42,2026-03-17 09:13:56,2026-03-17 09:16:48,171,1,EN-GB,1,,,1,,2,37
43,2026-03-17 09:14:56,2026-03-17 09:17:09,133,1,EN-GB,1,,,,1,2,35
44,2026-03-17 09:14:53,2026-03-17 09:17:23,149,1,EN-GB,1,,7,,,2,35
45,2026-03-17 09:14:38,2026-03-17 09:17:26,168,1,EN-GB,1,7,,,,2,29
46,2026-03-17 09:16:07,2026-03-17 09:18:05,118,1,EN-GB,1,,7,,,1,55
47,2026-03-17 09:16:43,2026-03-17 09:18:31,107,1,EN-GB,1,,,1,,1,24
48,2026-03-17 09:16:49,2026-03-17 09:18:39,109,1,EN-GB,1,,,,7,2,21
49,2026-03-17 09:13:39,2026-03-17 09:18:51,312,1,EN-GB,1,7,,,,2,43
50,2026-03-17 09:16:39,2026-03-17 09:18:58,138,1,EN-GB,1,,,1,,1,35
51,2026-03-17 09:17:02,2026-03-17 09:19:30,148,1,EN-GB,1,,6,,,1,37
52,2026-03-17 09:12:32,2026-03-17 09:19:33,421,1,EN-GB,1,7,,,,1,38
