ID,StartDate,EndDate,Duration (in seconds),Finished,UserLanguage,Consent,racism.12-pAction,12.2,racism.24-pAction,24.2,Gender,Age,Education
1,2026-03-17 12:52:30,2026-03-17 12:53:43,72,1,EN-GB,1,3,,,,1,24,4
2,2026-03-17 12:53:09,2026-03-17 12:54:24,74,1,EN-GB,1,1,,,,2,37,2
3,2026-03-17 12:53:07,2026-03-17 12:54:27,79,1,EN-GB,1,,,,1,1,29,3
4,2026-03-17 12:53:01,2026-03-17 12:54:48,106,1,EN-GB,1,,1,,,2,19,2
5,2026-03-17 12:53:10,2026-03-17 12:54:56,105,1,EN-GB,1,,3,,,1,46,3
6,2026-03-17 12:53:31,2026-03-17 12:55:02,91,1,EN-GB,1,,1,,,2,44,4
7,2026-03-17 12:54:26,2026-03-17 12:55:47,80,1,EN-GB,1,,1,,,1,60,4
8,2026-03-17 12:53:30,2026-03-17 12:56:07,156,1,EN-GB,1,2,,,,1,48,3
9,2026-03-17 12:54:36,2026-03-17 12:56:13,96,1,EN-GB,1,,,,1,2,26,4
10,2026-03-17 12:55:40,2026-03-17 12:56:34,53,1,EN-GB,1,,,1,,2,54,5
11,2026-03-17 12:55:41,2026-03-17 12:56:49,68,1,EN-GB,1,,1,,,1,28,5
12,2026-03-17 12:55:19,2026-03-17 12:57:28,128,1,EN-GB,1,,,,1,1,49,5
13,2026-03-17 12:53:49,2026-03-17 12:57:44,235,1,EN-GB,1,,,1,,1,49,2
14,2026-03-17 12:56:37,2026-03-17 12:57:55,77,1,EN-GB,1,,,1,,2,48,4
15,2026-03-17 12:56:37,2026-03-17 12:58:21,104,1,EN-GB,1,,,,1,1,42,2
16,2026-03-17 12:57:32,2026-03-17 12:58:27,54,1,EN-GB,1,,,,1,1,42,4
17,2026-03-17 12:57:34,2026-03-17 12:58:27,53,1,EN-GB,1,,,,1,2,40,4
18,2026-03-17 12:57:08,2026-03-17 12:58:30,82,1,EN-GB,1,,,,1,1,37,3
19,2026-03-17 12:56:31,2026-03-17 12:58:47,135,1,EN-GB,1,,,1,,2,70,5
20,2026-03-17 12:56:44,2026-03-17 12:58:52,128,1,EN-GB,1,,,,1,2,47,5
21,2026-03-17 12:56:28,2026-03-17 12:59:03,154,1,EN-GB,1,,,,1,1,80,2
