ID,StartDate,EndDate,Duration (in seconds),Finished,UserLanguage,Consent,racism.1-pAction,racism.1-pBeliefs,racism.1-agreement,racism.2-pAction,racism.2-pBeliefs,racism.2-agreement,racism.3-pAction,racism.3-pBeliefs,racism.3-agreement,racism.4-pAction,racism.4-pBeliefs,racism.4-agreement,racism.5-pAction,racism.5-pBeliefs,racism.5-agreement,racism.6-pAction,racism.6-pBeliefs,racism.6-agreement,racism.7-pAction,racism.7-pBeliefs,racism.7-agreement,racism.8-pAction,racism.8-pBeliefs,racism.8-agreement,racism.9-pAction,racism.9-pBeliefs,racism.9-agreement,racism.10-pAction,racism.10-pBeliefs,racism.10-agreement,racism.11-pAction,racism.11-pBeliefs,racism.11-agreement,racism.12-pAction,racism.12-pBeliefs,racism.12-agreement,racism.13-pAction,racism.13-pBeliefs,racism.13-agreement,racism.14-pAction,racism.14-pBeliefs,racism.14-agreement,racism.15-pAction,racism.15-pBeliefs,racism.15-agreement,racism.16-pAction,racism.16-pBeliefs,racism.16-agreement,racism.17-pAction,racism.17-pBeliefs,racism.17-agreement,racism.18-pAction,racism.18-pBeliefs,racism.18-agreement,racism.19-pAction,racism.19-pBeliefs,racism.19-agreement,racism.20-pAction,racism.20-pBeliefs,racism.20-agreement,racism.21-pAction,racism.21-pBeliefs,racism.21-agreement,racism.22-pAction,racism.22-pBeliefs,racism.22-agreement,racism.23-pAction,racism.23-pBeliefs,racism.23-agreement,racism.24-pAction,racism.24-pBeliefs,racism.24-agreement,racism.24-comp,Gender,Age,Education,Experience-racism,freeWill,determinism,politics,MoralRealism
1,2026-03-15 21:54:54,2026-03-15 21:57:19,145,1,EN-GB,1,,,,,,,,,,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,21,3,1,5,5,2,2
2,2026-03-15 21:55:19,2026-03-15 21:57:53,153,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,48,6,2,3,2,1,2
3,2026-03-15 21:55:41,2026-03-15 21:57:59,138,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,49,2,1,7,2,1,2
4,2026-03-15 21:54:51,2026-03-15 21:58:13,202,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,13,,,,,,,,,,,,,,,,1,2,45,4,2,6,4,2,2
5,2026-03-15 21:55:51,2026-03-15 21:58:19,148,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,12,,,,,,,,,,,,,,,,,,,1,1,24,5,2,5,5,1,1
6,2026-03-15 21:54:51,2026-03-15 21:58:22,211,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,39,2,2,7,7,1,1
7,2026-03-15 21:54:57,2026-03-15 21:58:26,209,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13,1,2,39,4,1,6,6,3,1
8,2026-03-15 21:54:57,2026-03-15 21:58:29,212,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,9,,,,,,,,,,,,,,,,1,2,53,5,2,6,6,3,3
9,2026-03-15 21:54:43,2026-03-15 21:58:32,228,1,EN-GB,1,,,,,,,,,,,,,,,,,,,11,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,69,4,2,7,7,4,3
10,2026-03-15 21:55:27,2026-03-15 21:58:34,186,1,EN-GB,1,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,49,4,2,3,3,1,1
11,2026-03-15 21:55:06,2026-03-15 21:58:40,214,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,56,3,2,5,5,3,2
12,2026-03-15 21:56:15,2026-03-15 21:58:41,145,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,13,,,,,,,,,,,,,,,,,,,,,,,,,1,1,34,2,2,7,5,2,1
13,2026-03-15 21:55:13,2026-03-15 21:58:43,209,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13,1,1,35,4,1,6,6,1,1
14,2026-03-15 21:55:49,2026-03-15 21:58:43,174,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,13,,,,,,,,,,,,,,,,,,,,,,1,2,25,4,2,5,3,4,2
15,2026-03-15 21:55:10,2026-03-15 21:58:43,213,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,56,4,2,6,6,7,1
16,2026-03-15 21:55:03,2026-03-15 21:58:44,221,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,37,3,1,4,4,2,3
17,2026-03-15 21:55:03,2026-03-15 21:58:45,221,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,35,4,2,2,4,2,1
18,2026-03-15 21:54:44,2026-03-15 21:58:52,247,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,19,2,2,5,5,4,1
19,2026-03-15 21:55:08,2026-03-15 21:58:53,225,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,13,,,,,,,,,,,,,1,2,22,2,3,6,5,5,1
20,2026-03-15 21:55:01,2026-03-15 21:58:53,232,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,13,,,,,,,1,1,23,4,2,5,5,2,1
21,2026-03-15 21:54:47,2026-03-15 21:58:58,251,1,EN-GB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,28,4,2,6,5,5,2
22,2026-03-15 21:55:06,2026-03-15 21:58:59,232,1,EN-GB,1,,,,,,,,,,1,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,39,5,1,6,3,2,3
