ID;StartDate;EndDate;Duration (in seconds);Finished;UserLanguage;Consent;non,blameAc;non,blameSelf;non,praiseAc;non,praiseSelf;ignorant,praiseAc;ignorant,praiseSelf;ignorant,blame,AC;ignorant,blameSelf;Gender;Age
1;2026-03-16 14:49:31;2026-03-16 14:50:22;51;1;EN-GB;1;6;6;;;;;;;2;31
2;2026-03-16 14:49:31;2026-03-16 14:50:56;84;1;EN-GB;1;7;7;;;;;;;1;38
3;2026-03-16 14:48:54;2026-03-16 14:51:08;133;1;EN-GB;1;;;1;1;;;;;2;28
4;2026-03-16 14:50:06;2026-03-16 14:51:12;66;1;EN-GB;1;;;5;4;;;;;2;35
5;2026-03-16 14:49:08;2026-03-16 14:51:17;129;1;EN-GB;1;;;4;3;;;;;2;39
6;2026-03-16 14:49:48;2026-03-16 14:51:21;92;1;EN-GB;1;;;1;1;;;;;2;27
7;2026-03-16 14:50:25;2026-03-16 14:51:22;56;1;EN-GB;1;;;;;;;7;7;2;25
8;2026-03-16 14:49:38;2026-03-16 14:51:24;106;1;EN-GB;1;;;;;2;1;;;2;42
9;2026-03-16 14:49:36;2026-03-16 14:51:27;111;1;EN-GB;1;;;;;2;4;;;1;24
10;2026-03-16 14:49:02;2026-03-16 14:51:29;146;1;EN-GB;1;;;;;7;7;;;1;40
11;2026-03-16 14:49:34;2026-03-16 14:51:29;115;1;EN-GB;1;7;7;;;;;;;2;28
12;2026-03-16 14:50:11;2026-03-16 14:51:33;82;1;EN-GB;1;;;;;4;6;;;2;37
13;2026-03-16 14:49:22;2026-03-16 14:51:40;138;1;EN-GB;1;;;;;;;7;7;2;18
14;2026-03-16 14:49:39;2026-03-16 14:51:42;122;1;EN-GB;1;;;;;2;3;;;1;43
15;2026-03-16 14:49:22;2026-03-16 14:51:48;146;1;EN-GB;1;;;;;;;7;4;1;34
16;2026-03-16 14:49:46;2026-03-16 14:51:55;128;1;EN-GB;1;;;2;3;;;;;2;27
17;2026-03-16 14:49:31;2026-03-16 14:51:59;147;1;EN-GB;1;;;;;6;3;;;2;59
18;2026-03-16 14:49:15;2026-03-16 14:52:05;169;1;EN-GB;1;7;1;;;;;;;2;53
19;2026-03-16 14:49:17;2026-03-16 14:52:07;170;1;EN-GB;1;;;;;;;7;7;2;47
20;2026-03-16 14:49:26;2026-03-16 14:52:09;163;1;EN-GB;1;7;7;;;;;;;1;54
21;2026-03-16 14:49:28;2026-03-16 14:52:13;165;1;EN-GB;1;;;1;1;;;;;1;36
22;2026-03-16 14:49:15;2026-03-16 14:52:15;179;1;EN-GB;1;;;;;;;6;6;1;26
23;2026-03-16 14:50:12;2026-03-16 14:52:16;123;1;EN-GB;1;;;4;2;;;;;2;34
24;2026-03-16 14:48:51;2026-03-16 14:52:16;205;1;EN-GB;1;;;;;;;5;5;2;52
25;2026-03-16 14:50:24;2026-03-16 14:52:16;112;1;EN-GB;1;7;7;;;;;;;2;32
26;2026-03-16 14:50:15;2026-03-16 14:52:19;124;1;EN-GB;1;7;5;;;;;;;1;40
27;2026-03-16 14:50:21;2026-03-16 14:52:21;119;1;EN-GB;1;;;;;;;5;4;4;38
28;2026-03-16 14:49:51;2026-03-16 14:52:21;149;1;EN-GB;1;;;;;;;5;7;1;40
29;2026-03-16 14:49:27;2026-03-16 14:52:23;176;1;EN-GB;1;;;;;6;6;;;1;38
30;2026-03-16 14:51:19;2026-03-16 14:52:31;71;1;EN-GB;1;6;6;;;;;;;2;34
31;2026-03-16 14:51:15;2026-03-16 14:52:33;77;1;EN-GB;1;;;6;6;;;;;2;41
32;2026-03-16 14:49:09;2026-03-16 14:52:34;205;1;EN-GB;1;;;4;5;;;;;1;72
33;2026-03-16 14:49:03;2026-03-16 14:52:39;216;1;EN-GB;1;;;6;5;;;;;1;74
34;2026-03-16 14:50:33;2026-03-16 14:52:41;127;1;EN-GB;1;;;2;4;;;;;3;29
35;2026-03-16 14:50:46;2026-03-16 14:52:41;114;1;EN-GB;1;;;1;2;;;;;1;25
36;2026-03-16 14:49:49;2026-03-16 14:52:42;172;1;EN-GB;1;;;4;5;;;;;2;33
37;2026-03-16 14:51:05;2026-03-16 14:52:43;98;1;EN-GB;1;;;1;1;;;;;2;33
38;2026-03-16 14:50:10;2026-03-16 14:52:44;153;1;EN-GB;1;;;;;;;7;2;2;50
39;2026-03-16 14:50:07;2026-03-16 14:52:45;158;1;EN-GB;1;7;5;;;;;;;1;22
40;2026-03-16 14:49:36;2026-03-16 14:52:46;189;1;EN-GB;1;7;6;;;;;;;1;43
41;2026-03-16 14:50:43;2026-03-16 14:52:46;123;1;EN-GB;1;;;;;4;5;;;3;29
42;2026-03-16 14:51:31;2026-03-16 14:52:46;75;1;EN-GB;1;;;;;;;7;4;2;33
43;2026-03-16 14:50:17;2026-03-16 14:52:48;151;1;EN-GB;1;;;;;7;6;;;3;42
44;2026-03-16 14:50:54;2026-03-16 14:52:49;114;1;EN-GB;1;;;;;;;5;6;1;28
45;2026-03-16 14:51:21;2026-03-16 14:52:49;87;1;EN-GB;1;7;6;;;;;;;2;26
46;2026-03-16 14:49:43;2026-03-16 14:52:51;187;1;EN-GB;1;;;4;5;;;;;2;29
47;2026-03-16 14:50:28;2026-03-16 14:52:53;144;1;EN-GB;1;;;;;1;2;;;1;30
48;2026-03-16 14:49:55;2026-03-16 14:52:55;179;1;EN-GB;1;;;;;3;5;;;1;46
49;2026-03-16 14:49:32;2026-03-16 14:52:55;203;1;EN-GB;1;;;;;;;6;5;2;68
50;2026-03-16 14:50:10;2026-03-16 14:52:57;166;1;EN-GB;1;;;;;;;4;4;2;41
51;2026-03-16 14:50:32;2026-03-16 14:53:00;147;1;EN-GB;1;;;;;;;7;4;2;59
52;2026-03-16 14:50:38;2026-03-16 14:53:00;141;1;EN-GB;1;;;;;4;4;;;1;33
53;2026-03-16 14:50:11;2026-03-16 14:53:02;170;1;EN-GB;1;7;7;;;;;;;1;31
54;2026-03-16 14:49:23;2026-03-16 14:53:03;219;1;EN-GB;1;;;;;;;6;4;2;48
55;2026-03-16 14:51:35;2026-03-16 14:53:04;88;1;EN-GB;1;7;6;;;;;;;2;49
56;2026-03-16 14:50:56;2026-03-16 14:53:07;130;1;EN-GB;1;;;;;6;5;;;2;22
